title,company_name,location,salary_extension,salary_unit,experience_required,education_required,skills,welfareList
C＋＋开发工程师,捷骏,肇庆,15-23K·13薪,月薪,1-3年,本科,MFC Winform MVC开发,包吃 员工旅游 宿舍有空调 意外险 补充医疗保险 餐补 住房补贴 定期体检 夜班补助 社保 节日福利 年终奖 全勤奖 包住 团建聚餐 零食下午茶 免费工装 带薪年假 包住宿 加班补助
嵌入式硬件工程师,广东爱迪世纪科技,肇庆,6-10K,月薪,经验不限,大专,,
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
java开发工程师,蓝图商务,肇庆,5-6K·13薪,月薪,1-3年,大专,Java Nginx SpringCloud MySQL MyBatis Redis,有无线网 绩效奖金 年终奖 带薪年假 五险一金
硬件助理工程师,寻迹医疗,肇庆,4-7K,月薪,1-3年,大专,机械设计制造相关专业 电子电气/自动化相关专业 智能硬件/可穿戴设备 硬件开发经验 音视频/显示类产品,五险一金 员工旅游 包吃
ui设计师,思讯文化,肇庆,5-8K,月薪,1-3年,大专,有UI设计经验/技能 甲方公司 五险 年终奖 周末单休 现场办公 Axure PS HTML 1-3年UI设计经验 交互设计经验 数据分析能力,绩效奖金 年终奖 带薪年假 底薪加提成 股票期权 零食下午茶 定期体检 全勤奖 员工旅游
运维开发（可线上面试/会粤语/长期稳定）,极联股份,肇庆,15-19K,月薪,3-5年,本科,Java MySQL Spring,节日福利 五险一金 全勤奖 带薪年假 零食下午茶
前端开发工程师,广东长高通信服务,肇庆,8-13K,月薪,3-5年,本科,,
unity开发工程师,云虫科技,肇庆,4-8K,月薪,1-3年,大专,C# 3ds Max Unity3D Maya VR/AR开发经验 Unity3D开发经验,底薪加提成 年终奖 保底工资 绩效奖金 五险一金
银行助理+底薪5000+无续开发只沟通,肇庆市庆银融服信...,肇庆,5-10K,月薪,经验不限,学历不限,线下零售 大宗商品 制造业 医疗健康 互联网 游戏 房地产/建筑,生日福利 绩效奖金 节日福利 全勤奖 零食下午茶 团建聚餐 员工旅游 底薪加提成 保底工资 五险
高级前端开发,壹芸传媒科技,肇庆,8-9K,月薪,3-5年,本科,JavaScript Vue Node.js 前端开发经验,带薪年假 五险一金
压铸开发岗,某知名仪器仪表公司,肇庆,20-21K,月薪,5-10年,大专,,
服装打板师,西启鼎晟,肇庆,6-11K,月薪,3-5年,大专,,
外贸跟单专员,广东省永恒美表业,肇庆,3-5K,月薪,经验不限,学历不限,,宿舍有空调 节日福利 包吃 包住
前端开发工程师,长沙丰旭公司,肇庆,10-12K,月薪,3-5年,本科,JavaScript HTML5 Vue 前端开发经验 计算机/软件工程相关专业,免费工装 五险一金 宿舍有空调 法定节假日三薪 绩效奖金 有无线网 包吃 股票期权 生日福利 节日福利 定期体检 年终奖 全勤奖 节假日加班费 高温补贴 包住 员工旅游 带薪年假 工龄奖
web前端开发,微元件,肇庆,3-5K,月薪,经验不限,学历不限,JavaScript CSS Vue,
财税助理,一诺快记,肇庆,3-8K,月薪,经验不限,学历不限,,餐补 五险一金 零食下午茶 底薪加提成 有无线网 生日福利 保底工资 全勤奖 年终奖 交通补助 通讯补贴 团建聚餐 带薪年假 节日福利 员工旅游 绩效奖金 住房补贴
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
java开发工程师,蓝图商务,肇庆,5-6K·13薪,月薪,1-3年,大专,Java Nginx SpringCloud MySQL MyBatis Redis,有无线网 绩效奖金 年终奖 带薪年假 五险一金
设备工程师,拼多多集团-PDD,肇庆,9-12K,月薪,3-5年,学历不限,不需要出差 1-3年设备维保经验 要求有设备维保经验 自动化机械经验 食品机械经验 汽车机械经验 其他 家电设备经验 不需要倒班 不需要夜班 重型机械经验,
模具工程师助理,金强工贸,肇庆,10-15K,月薪,3-5年,初中及以下,,
电气工程师,广东韶能精益纸业,肇庆,12-15K,月薪,5-10年,学历不限,,
机电设计工程师,端鸿城投,肇庆,11-14K,月薪,5-10年,本科,,定期体检 五险一金 生日福利 带薪年假
机械工程师,万顺达机械,肇庆,5-10K,月薪,5-10年,本科,技术改造与调整 机械工程专业 装配工艺 AutoCAD 图纸设计 综合性工程师 重型机械 3D TIMON 本地优先有工程师证书 自动化 食品机械 设计建模 售后工程师 SolidWorks 设计工程师,
工艺工程师,肇庆市高新区美达...,肇庆,5-6K,月薪,1-3年,学历不限,印刷/包装/造纸经验 团队管理经验 不需要出差 认真负责,加班补助 五险一金 全勤奖 包吃 餐补 年终奖 节日福利
夹具工程师,小瓶盖科技,肇庆,6-10K,月薪,经验不限,大专,,零食下午茶 全勤奖 五险
数据标注工程师,中世维科技,肇庆,3-5K,月薪,1-3年,大专,,全勤奖 绩效奖金
五金工程师,阿诺诗精密金属科技,肇庆,8-12K,月薪,经验不限,学历不限,,全勤奖
高级工艺工程师,广东某大型建筑铝型材公司,肇庆,20-23K,月薪,3-5年,中专/中技,,五险 包住 高温补贴 包吃 免费班车 包住 宿舍有空调 餐补 入职体检免费 有无线网 宿舍有WiFi 加班补助 节日福利
机械工程师,肇庆竞励,肇庆,10-14K,月薪,经验不限,大专,机械工程师 技术改造与调整 AutoCAD 图纸设计 CAD 重型机械 熟悉电动/气动/传动设施 熟悉各类材料性质 熟悉各类加工工艺 机械结构工程师 有机械工程师经验 机械设计 设计工程师,
工艺工程师,兴康,肇庆,10-13K,月薪,1-3年,高中,,工龄奖 五险 年终奖 节日福利 带薪年假 绩效奖金 全勤奖 员工旅游 生日福利 包住 宿舍有空调 包吃
电气工程师,广东迪恩自动化科技,肇庆,6-10K·13薪,月薪,1-3年,大专,,五险一金 绩效奖金 年终奖
全栈开发工程师,肇庆华阳云科信息科技,肇庆,8-13K,月薪,1-3年,大专,Java Python Spring/Spring Boot JavaScript,
java开发工程师,蓝图商务,肇庆,5-6K·13薪,月薪,1-3年,大专,Java Nginx SpringCloud MySQL MyBatis Redis,有无线网 绩效奖金 年终奖 带薪年假 五险一金
硬件助理工程师,寻迹医疗,肇庆,4-7K,月薪,1-3年,大专,机械设计制造相关专业 电子电气/自动化相关专业 智能硬件/可穿戴设备 硬件开发经验 音视频/显示类产品,五险一金 员工旅游 包吃
ui设计师,思讯文化,肇庆,5-8K,月薪,1-3年,大专,有UI设计经验/技能 甲方公司 五险 年终奖 周末单休 现场办公 Axure PS HTML 1-3年UI设计经验 交互设计经验 数据分析能力,绩效奖金 年终奖 带薪年假 底薪加提成 股票期权 零食下午茶 定期体检 全勤奖 员工旅游
软件项目经理,四会市新创电子商务,肇庆,20-21K,月薪,经验不限,学历不限,私域,
采购开发工程师（六险一金，双休）,俊杰机械(广东)...,肇庆,12-18K,月薪,1-3年,大专,国内采购 机械制造品,绩效奖金 五险一金 包吃包住 带薪年假 全勤奖 住房补贴 节日福利 生日福利 年终奖
PE工程师（肇庆/包食宿）,欧博,肇庆,12-15K,月薪,1-3年,大专,,餐补 包吃
压铸开发岗,某知名仪器仪表公司,肇庆,20-21K,月薪,5-10年,大专,,
工艺工程师,广东腾龙智冷科技,肇庆,6-8K·13薪,月薪,3-5年,大专,不需要出差 芯片/半导体经验 半导体经验 AutoCAD 车载冰箱 汽车经验 新能源汽车经验,五险一金
研发工程师,绿宝石,肇庆,7-12K,月薪,在校/应届,本科,,年终奖 全勤奖 加班补助 定期体检 五险一金
PE工程师（包吃住）,广东兴富生物科技,肇庆,12-15K,月薪,1-3年,大专,塑料经验 橡胶经验 成型工艺经验 UG AutoCAD Pro/E 量产工程师（PE）经验 不需要出差 注塑经验 产品改良和出图 化妆品塑胶包材行业,包吃
运维开发（可线上面试/会粤语/长期稳定）,极联股份,肇庆,15-19K,月薪,3-5年,本科,Java MySQL Spring,节日福利 五险一金 全勤奖 带薪年假 零食下午茶
软件工程师,广东爱迪机电科技,肇庆,12-16K,月薪,1-3年,中专/中技,,餐补 五险 住房补贴
银行助理+底薪5000+无续开发只沟通,肇庆市庆银融服信...,肇庆,5-10K,月薪,经验不限,学历不限,线下零售 大宗商品 制造业 医疗健康 互联网 游戏 房地产/建筑,生日福利 绩效奖金 节日福利 全勤奖 零食下午茶 团建聚餐 员工旅游 底薪加提成 保底工资 五险
unity开发工程师,云虫科技,肇庆,4-8K,月薪,1-3年,大专,C# 3ds Max Unity3D Maya VR/AR开发经验 Unity3D开发经验,底薪加提成 年终奖 保底工资 绩效奖金 五险一金
